순위,ISBN,상품번호,상품명,판매가,YES포인트,저자,출판사,설명,출고예상일,관리분류
11,9791158883591,58774995,부자 아빠 가난한 아빠 20주년 특별 기념판,"15,300원",850원,로버트 기요사키/안진환,민음인,전 세계에서 가장 많이 팔린 경제경영서 ‘부자 아빠 가난한 아빠’ 20주년 기념 업그레이드 에디션 출간! - 세계 금융 변화에 맞춘 41개의 NEW 코멘트 - 토론과 실천을 위한 10가지 스터디세션 등 500매 분량의 내용 추가 1997년 미국에서 처음 출간된 이래 전 세계 51가지 언어로 109개국에서 출판되어 4000만 부(국내 350만 부)가 판매된 경제경영 재테크 분야 최고의 밀리언셀러 ‘부자 아빠 가난한 아빠’ 시리즈. 20년의 세월을 통해 검증된 부자들의 돈과 투자에 대한 지침들과 오늘날의 시대상에 맞춘 새로운 정보들이 추가된 『부자 아빠 가난한 아빠 20주년 특별 기념판』이 ㈜민음인에서 출간되었다. 지난 20년간 독자들에게 가장 많은 사랑을 받아 온 『부자 아빠 가난한 아빠 1』의 내용에 세계 금융 변화에 맞춘 41개의 ‘20년 전 그리고 오늘’과 토론과 실천을 위한 10가지 ‘스터디세션’ 등 원고지 500매 분량이 추가된 업그레이드 에디션이다.,1,국내도서-경제 경영
12,9791191056372,96547408,돈의 심리학,"17,820원",990원,모건 하우절/이지연,인플루엔셜,"가장 크게 성공한 투자자 vs. 가장 크게 파산한 투자자 무엇이 이 둘의 운명을 갈랐는가 ‘소설가의 기술을 가진 금융작가’ ‘스토리텔링의 천재’ 최우수 비즈니스 작가상 수상에 빛나는 모건 하우절의 역작 왜 누군가는 부자가 되고, 왜 누군가는 실패자로 남는가 전 월스트리트저널 기자가 수많은 취재와 연구 끝에 깨달은 부의 비밀 월스트리트저널에서 10년 넘게 금융과 투자에 대한 글을 써온 칼럼니스트이자 콜라보레이티브 펀드 파트너로 활동중인 모건 하우절의 첫 책이다. 출간 즉시 아마존 투자 분야 1위를 차지했고 개인 투자자부터 전문 컨설턴트까지 극찬 세례를 받으며 명실상부 ‘2020 아마존 최고의 금융도서’로 평가받는다. 《돈의 심리학》은 총 20개 스토리로 구성되어 있다. ‘스토리텔링의 천재’ ‘소설가의 기술을 가진 금융 작가’라는 별명답게 모건 하우절이 들려주는 20개의 투자 스토리는 대단히 매력적이다.",1,국내도서-경제 경영
13,9791190242868,101699265,메타버스 새로운 기회,"16,920원",940원,김상균/신병호,베가북스,메타버스 열풍을 일으킨 김상균 교수의 통찰력과 투자전문가 벵골호랑이의 메타버스 산업 분석이 빛나는 메타버스 시대의 역작! 압도적 인기! 베스트셀러 작가! 메타버스 산업구조 대해부! 경제와 사회를 관통하는 놀라운 지식 디지털 지구를 처음 국내 대중에게 알린 메타버스의 선구자인 김상균은 『메타버스 새로운 기회』를 통해 메타버스란 무엇이고 앞으로 메타버스가 나아갈 방향을 설명하여 많은 사람들에게 새로운 지구에 사는 방법과 미래를 거머쥘 비책을 전달한다. 김상균은 메타버스를 우리의 삶과 사회를 새롭게 바라보게 만들어주는 렌즈에 비유하면서 그 렌즈를 통해 세상의 요동치는 변화 속에서 우리가 새로운 기회를 놓치지 않고 메타버스 시대를 이끌어 갈 수 있는 전략을 제시한다.,2,국내도서-경제 경영
14,9791165795788,101875887,라오어의 미국주식 무한매수법,"14,400원",800원,라오어,알키,"이 책을 읽는 순간 당신은 평생 주식을 하게 될 것이다! 월 2,000만 원 수익 ‘매달’ 인증하며 화제가 된 네임드 라오어의 첫 책 - 월 50만 원 10년 안에 10억 만들기 - 하루 10분 투자, 연 20% 수익률 - 차트, 시황분석 필요 없는 투자 주식에서 돈을 벌려면 딱 한 가지만 알면 된다. ‘싸게 사서 비싸게 판다.’ 문제는 언제가 ‘어깨’고 언제가 ‘무릎’인지 맞히기 어렵다는 것이다. 고점과 저점을 예측하기 어려운 상황에서 분할매수는 안정성과 수익률을 동시에 노릴 수 있다는 장점이 있다. ‘무한매수법’ 역시 분할매수에 바탕을 둔 투자법이다. 정해진 원금을 쪼개 일정 기간 동안 주식을 매수하여 평균 매수단가를 낮추고, 주가가 평균 매수단가보다 높아졌을 때 수익을 실현하는 것이다.",1,국내도서-경제 경영
15,9791162542408,104126947,세계미래보고서 2022 (메타 사피엔스가 온다),"16,020원",890원,박영숙/제롬 글렌,비즈니스북스,"코로나가 만든 신인류 ‘메타 사피엔스’가 부와 권력을 재편한다! 코로나 팬데믹을 겪고 생존을 위한 리셋을 진행하면서 인류는 전에 없던 대변혁을 맞았다. 변화의 파도 속에서 위기가 아닌 기회를 찾고, 지속가능한 생존을 위해 인류는 어떤 준비를 해야 하는 걸까? 지난해《세계미래보고서 2021》 ‘포스트 코로나 특별판’에서는 코로나 팬데믹 이후 찾아올 정치, 경제, 사회, 교육 분야의 변화에 대한 긴급 진단과 전망을 담았다. 이후 인류 문명은 생각지도 못했던 놀라운 지각변동을 겪기 시작했다. 밀레니엄 프로젝트는 이미 시작된 지각변동, 그리고 이전과는 전혀 다른 방식으로 작동할 세상을 예측하고 그것이 만들어낼 변화상을 《세계미래보고서 2022 : 메타 사피엔스가 온다》를 통해 제시한다. 인간의 상상력과 기술이 결합해 이전과는 전혀 다른 세상이 펼쳐지고 있으며 인류는 거대한 문명의 패러다임 전환기를 맞고 있다.",1,국내도서-경제 경영
16,9791197563607,104862076,내가 산 주식은 왜 안 오를까?,"16,200원",900원,진홍국,경이로움,"주식 애널리스트계의 스타 억대 연봉 애널리스트 출신의 진홍국 CFO 그가 13년 만에 처음 밝히는 이야기 증권가에서도 ‘귀한 몸’으로 대우받는 바이오 애널리스트. 그중에서도 5대 언론사 베스트 애널리스트 1위를 모두 석권한 업계 TOP 스타 애널리스트로 유명했던 그의 리포트는 증권가는 물론이고 언론가에서도 늘 화제가 되었다. 대표적으로 삼성바이오로직스를 초기에 발굴하고, 모두가 삼바에 ‘NO'를 외칠 때도 매수 의견을 던졌던 날카로운 통찰력은 여전히 업계 전설로 남아있다. 13년의 경력을 내려놓고 유망 바이오 기업의 CFO(최고재무책임자)로 떠난 저자의 행보 자체가 수차례 기사화되었을 정도니 저자의 업계 영향력은 스타 애널리스트라는 말이 부족할 정도. 여의도가 사랑한 억대 연봉 애널리스트, 그가 자신의 성공 투자 비결을 아낌없이 공개한 이번 책에는 애널리스트 시절 내놓았던 화제의 리포트들을 통해 개미들의 주식 실력을 한번에 높일 수 있는 레벨업 포인트가 가득하다.",1,국내도서-경제 경영
17,9788995563502,79695513,부의 인문학,"13,500원",750원,브라운스톤(우석),오픈마인드,뼈아픈 시행착오와 인문학적 통찰로 다져진 절대 실패하지 않는 투자의 기술 인문학 속 거인들에게 배우는 돈의 흐름과 부의 작동원리 『부의 인문학』은 네이버 카페 ‘부동산 스터디’ 회원들의 ‘성지순례’로 명성 높은 브라운스톤(네이버 닉네임 : 우석)의 ‘자본주의 게임에서 반드시 이기는 부의 법칙’을 담고 있다. 그는 500만 원으로 50억 원을 만든 실전 투자가다. 하지만 그는 이 모든 이야기가 자신의 개인적인 경험이나 생각에서 나온 것은 아니라고 말한다. 자신의 전망이 마치 예언처럼 딱딱 들어맞는 것은 자신이 ‘거인의 어깨’ 위에 올라앉아서 돈이 움직이는 길을 바라보고 있기 때문이라는 설명이다. 오로지 ‘투자’를 핵심에 둔 인문학적 탐구가 ‘돈의 길’을 보여주었다는 이야기다. 성공한 실전 투자가가 필터링한 인문학은 투자 안내서로서 손색이 없다. 200년 전 경제학 이론이 오늘의 세계를 너무도 정확히 설명하고 있음을 확인하는 순간 저절로 고개를 끄덕이게 된다.,2,국내도서-경제 경영
18,9791135469442,104647756,존 메이너드 케인스,"27,000원","1,500원",재커리 D. 카터/김성아/홍춘욱,로크미디어,"“엄청나게 유익한 책.” _폴 크루그먼, 노벨 경제학상 수상자 2021년 힐먼상 수상작, 전미 도서 비평가 협회상 최종 후보, 컨딜 역사상 후보 뉴욕타임스, 이코노미스트, 블룸버그, 마더존스, 퍼블리셔스 위클리 선정 올해의 책 근현대사에 가장 큰 영향력을 끼친 경제학자이자 위대한 계몽주의 지식인에 관하여 존 메이너드 케인스의 인생과 그의 사상을 낱낱이 풀어내는 지적 전기! 제1차 세계 대전이 시작될 무렵, 어느 한 젊은 학자가 사이드카가 달린 오토바이를 타고 런던으로 떠났다. 당시 잉글랜드에는 역사상 가장 지독한 금융 위기가 터진 지 5일 째가 되는 날이었고, 유럽을 휩쓸어버린 전쟁이 본격적으로 시작되는 시기였다. 영국은 전쟁과 경제 위기로 촉발된 공포와 혼란으로 가득했다. 젊은 학자는 이러한 위기와 혼란을 잠재울 수 있는 획기적인 방법을 제안하였다. 영국은 젊은 학자의 제안을 받아들였고, 긴박한 위기 상황에서 벗어날 수 있었다.",1,국내도서-경제 경영
19,9791188331796,90428162,돈의 속성 200쇄 리커버,"16,020원",890원,김승호,스노우폭스북스,"유튜브 1,100만 명이 시청한 [돈의 속성] 완결판 최상위 부자 김승호 회장이 직접 밝히는 돈에 대한 통찰과 철학 맨손에서 종잣돈을 만들고 돈을 불리는 75가지 방법 이 책 『돈의 속성』은 3년 전 어느 극장 하나를 빌려 대중에게 강의했던 내용을 기반으로 집필됐다. 강연은 방송을 통해 전파되며 유튜브와 셀럽들에 의해 공유와 전파를 거듭했다. 그리고 이내 1,100만 명에게 전달되기에 이르렀다. 하지만 여러 사람을 통해 생산 및 재생산되는 과정에서 어떤 의미는 그 뜻이 정확히 전달되지 않았거나 의미가 왜곡되는 일이 있었다. 몇 권을 저술한 저자지만 여전히 책 쓰기가 가장 어렵다는 그는 이런 상황에서 다시 한 번 펜을 잡기로 결정했다. 그것은 그의 내면에 깃든 사람에 대한 애정 때문이었다. 모두에게 정말 필요하고 중요하지만 아무도 말하지 않는 진짜 돈 버는 방법, 진짜 돈을 벌어본 사람은 그 누구도 방법을 공유하지 않기에 이 일이 저자 자신에게 주어진 것이라 받아들였다.",1,국내도서-경제 경영
20,9788925566511,73032112,월급쟁이 부자로 은퇴하라,"16,200원",900원,너나위,알에이치코리아(RHK),"“회사는 당신을 책임지지 않는다!” 70억 자산가로 변신한 월급쟁이의 부동산 투자 노하우 살아갈 날은 점점 길어지는데 직장에서 일할 수 있는 날은 더욱 짧아지는 시대, 당신은 무엇을 준비하고 있는가? 미국의 5대 갑부로 전설적인 투자의 귀재라고 불리는 워런 버핏(Warren Buffett)은 말했다. “당신이 잠자는 동안에도 돈이 들어오는 방법을 찾아내지 못한다면, 당신은 죽을 때까지 일을 해야만 할 것이다.” 결국, 자본주의 사회에서 투자로 얻는 수익을 ‘불로소득(不勞所得)’으로 치부해버린다면, 노인이 되어서도 생계를 유지하기 위해 노동판을 헤맬 수밖에 없다. 핵심은, 근로소득을 자본소득으로 바꾸어, 나 대신 일할 ‘부동산 시스템’을 마련하는 것! 이 책은 국가도 회사도 책임져주지 않는 현실을 자각한 평범한 월급쟁이가 치열하게 공부하고 공격적으로 투자해, 불과 3년 만에 70억 자산가로 거듭날 수 있었던 비결을 공개한다.",2,국내도서-경제 경영
21,9791165214975,98796623,소수몽키의 한 권으로 끝내는 미국주식,"18,000원","1,000원",소수몽키(홍승초),길벗,"숫자 몰라도, 시간 없어도 OK! 초보자도 생활 속에서 종목 발굴하고 매수매도 타이밍을 잡는다! 삼성과 테슬라, 어디가 더 안전한 투자처일까? 안전한 투자처를 원하면서 미국주식은 외면하고 있는 투자자들을 위한 책 2020년부터 불어온 동학개미 열풍은 사람들에게 ‘투자’라는 새로운 세상을 알게 하는 계기가 되었다. 근로소득만으로는 불안한 사람들이 너도나도 투자에 뛰어들고 있지만 이상하게 미국주식은 선뜻 시작하는 사람이 많지 않다. 영어를 몰라서, 환전과 세금이 복잡해서, 미국기업이 생소해서 등 다양한 이유로 투자를 망설이지만 오히려 투자를 처음 하는 왕초보도, 주식 용어와 재무제표 등 복잡한 지식을 몰라도 미국주식으로 얼마든지 수익을 낼 수 있다. 현재 우리는 수많은 미국기업에 둘러싸여 지내고 있다. 출퇴근길 유튜브로 영상을 보고, 회사에서는 마이크로소프트의 프로그램을 이용하고, 거리에서는 테슬라 전기차가 심심찮게 목격된다.",1,국내도서-경제 경영
22,9788901246086,93888691,2030 축의 전환,"16,200원",900원,마우로 기옌/우진하,리더스북,"변화는 코로나19에서 끝나지 않는다! 2030년, 세계는 더 심오하고 거대한 질적 전환을 맞이한다! 세계적인 경영 석학 마우로 기옌 와튼스쿨 교수, 경제학, 지정학, 사회학을 넘나드는 파격적 통찰로 전 세계 리더들을 충격에 빠뜨리다! 4차 산업혁명 다음 혁명은 어느 나라가 주도할까? 출생률 감소와 인구 고령화는 코로나19와 맞물려 어떤 양상으로 진행될까? 디지털 시대에 태어난 밀레니얼 세대와 세계에서 가장 큰 소비자 집단인 실버 세대 사이에는 어떤 기회가 숨겨져 있을까? 규모와 수가 빠르게 늘고 있는 도시들은 기후변화와 양극화를 어떻게 극복할 수 있을까? 『2030 축의 전환: 새로운 부와 힘을 탄생시킬 8가지 거대한 물결』은 현재 진행 중인 주요 추세들이 ‘2030년’에 수렴하면, 지금과는 완전히 다른 세상이 펼쳐질 것이라 전망한다.",1,국내도서-경제 경영
23,9788957825945,102951831,전설로 떠나는 월가의 영웅,"23,400원","1,300원",피터 린치/존 로스차일드/이건/홍진채,국일증권경제연구소,"월가의 전설적인 투자자 ‘피터 린치’가 쓴 주식투자의 고전! “어떤 기업이든 공부하지 않고 주식을 사면, 카드를 보지 않고 포커게임에 임하는 것과 같다. 사람들이 부동산에서 돈을 벌고 주식에선 돈을 잃는 이유가 있다. 그들은 집을 선택하는 데는 몇 달을 투자하지만, 주식선정은 몇 분 안에 끝마쳐버린다.” 피터 린치는 주식투자에 대해 운으로 이기는 투기가 아닌 끝없는 조사와 분석을 통해 성장할 종목을 찾는 것이라고 말한다. 성장할 종목을 찾아 투자하여, 몇백 배에 달하는 수익을 얻는 방법이 있을까? 이 책은 월가의 전설적인 인물 피터 린치가 개인투자자들을 위해 1989년에 출간했던 『월가의 영웅』최신 개정판이다. 월가에서 은퇴한 후 처음으로 저술한 책으로, 자서전 형식을 띠면서 주식투자에 관한 저자의 철학을 유쾌하게 서술한 투자지침서이기도 하다.",1,국내도서-경제 경영
24,9791130640600,103401164,대한민국 재건축 재개발 지도,"17,100원",950원,정지영(아임해피),다산북스,"“청약은 문턱이 높고, 신축은 비싼 당신에게 ‘천국으로 가는 비상구’가 열렸다!” 저자가 ‘청약의 신’으로 활동하며 만난 무주택자들이 ‘가점이 너무 낮아서’ 매번 청약에 실패하고, 새 아파트에 살고 싶지만 이미 너무 올라버린 아파트값 때문에 좌절하는 모습은 비단 남의 일이 아니다. “더 철저히 전략을 세우라”고만 외칠 수 없는 상황에서 저자는 청약이 아니어도 반드시 길은 있다는 걸 보여주기 위해 이 책을 집필했다. 저자의 첫 내 집 마련 사례를 비롯해 첫 집을 재건축·재개발 투자로 시작한 사람들의 이야기를 읽다 보면, 당신도 마치 만점짜리 청약통장을 손에 넣은 것처럼 할 수 있다는 자신감과 용기를 갖게 될 것이다. 신축 공급 절벽 시대에 가장 효과적이고 안전하게 새 아파트를 장만할 또 하나의 최선책이 이 책에 모두 담겨 있다.",1,국내도서-경제 경영
25,9788994702346,9440838,부의 추월차선,"13,500원",750원,엠제이 드마코/신소영,토트출판사,"부자의 공식은 통계적 전략이 아니라, 부의 비밀을 파헤치고 지름길로 향하는 문을 여는, 완전히 심리적이고 수학적인 공식이다. 진짜 쓸모 있는 공식은 수학적으로 짜여 있을 뿐만 아니라 모호한 표현도 포함하지 않는다. 정말로 돈을 벌 수 있는 비밀, 수학적인 공식이 존재할까? 물론이다.",2,국내도서-경제 경영
26,9791191328394,105123024,"개장 전, 아직 켜지지 않은 모니터 앞에서","14,400원",800원,강민우(돈깡),이레미디어,"구독자수 40만 인기 유튜버, MZ 세대 투자의 아이콘 “돈깡” 감성만으로 성공할 수 없고 이성적으로 이해할 수 없는 시장에서 깨달은 투자의 섭리 그저 자신으로 존재하기 위해서 분투했던 시간의 기록 “‘좋은 대학, 좋은 직장’은 사회에 안전하게 진입했음을 알려 주는 보편적인 공식이다. 그런데 세상의 기준이 나와 맞지 않는다는 것을 깨달았다면 그다음은 어떻게 되는 걸까. ‘나다운, 나만의 방식이 있을까?’라는 질문에 대한 답을 찾아 고민하고 방황하던 끝에 스스로를 일으켜 세울 성장의 현장으로 주식을 선택했다.” ‘MZ 세대 투자의 아이콘’, 40만 인기 유튜버 ‘돈깡’의 이야기, 《개장 전, 아직 켜지지 않은 모니터 앞에서》가 출간됐다. 그 무엇도 아닌 자신이 되고자 했던 지난 12년간의 치열한 기록을 담았다.",1,국내도서-경제 경영
27,9791191393163,102094131,[예스리커버] 돈의 역사는 되풀이된다,"14,400원",800원,홍춘욱,포르체,"돈의 주도권을 잡으려면 돈의 흐름을 읽어야 한다! 돈 공부만 28년, 국내 최고의 이코노미스트! 홍춘욱 박사가 들려주는 ‘현실’ 경제수업과 최고의 투자법 『돈의 역사는 되풀이된다』 국내 최고의 이코노미스트 홍춘욱 박사가 돈 공부만 28년 한 모든 노하우를 담아 경제 흐름과 부동산, 주식, 투자에 필요한 현실적인 조언, 즉 돈의 흐름을 읽는 법을 담았다. 돈의 주도권을 잡기 위해서 우리는 반드시 돈의 흐름을 읽는 법을 알아야 한다. 홍춘욱 박사는 아들에게 물려줄 부의 유산으로 ‘돈의 흐름을 읽는 법’을 꼽았고, 홍 박사가 가진 돈에 관한 인사이트를 집대성해 불확실한 시대에 나를 지키는 현실적인 투자 방법을 알려주고 있다. 은행과 증권사의 이코노미스트로, 국민연금공단의 투자 운용 매니저로, 경제·경영학자로 탄탄히 쌓아 올린 저자의 투자 이력은 불확실성이 큰 요즘 같은 코로나 및 저금리 시대에 어떤 길로 나가야 할지 선명한 방향을 제시해준다.",1,국내도서-경제 경영
